date,cases,deaths
9/20/2020,746,3506
9/21/2020,523,3512
9/22/2020,613,3520
9/23/2020,714,3530
9/24/2020,903,3548
9/25/2020,1175,3566
9/26/2020,1163,3577
9/27/2020,902,3580
9/28/2020,860,3591
9/29/2020,746,3612
9/30/2020,968,3632
10/1/2020,1164,3645
10/2/2020,1500,3656
10/3/2020,1455,3669
10/4/2020,1087,3674
10/5/2020,784,3681
10/6/2020,996,3711
10/7/2020,1288,3727
10/8/2020,1461,3742
10/9/2020,1834,3761
10/10/2020,1925,3782
10/11/2020,1570,3789
10/12/2020,1574,3795
10/13/2020,1572,3822
10/14/2020,1165,3836
10/15/2020,1947,3864
10/16/2020,2298,3887
10/17/2020,2485,3918
10/18/2020,1605,3937
10/19/2020,1583,3960
10/20/2020,1500,4008
10/21/2020,1734,4023
10/22/2020,2856,4065
10/23/2020,2467,4092
10/24/2020,2741,4118
10/25/2020,2152,4130
10/26/2020,1972,4143
10/27/2020,1986,4194
10/28/2020,2570,4227
10/29/2020,3624,4260
10/30/2020,3182,4286
10/31/2020,3465,4332
11/1/2020,2752,4364
11/2/2020,3076,4390
11/3/2020,2890,4439
11/4/2020,3706,4464
11/5/2020,4423,4511
11/6/2020,4648,4547
11/7/2020,4911,4592
11/8/2020,4652,4629
11/9/2020,4133,4664
11/10/2020,4866,4731
11/11/2020,5041,4762
11/12/2020,6605,4813
11/13/2020,5599,4863
11/14/2020,8327,4888
11/15/2020,6706,4910
11/16/2020,5146,4936
11/17/2020,5492,5025
11/18/2020,6037,5084
11/19/2020,7295,5143
11/20/2020,6818,5206
11/21/2020,6878,5246
11/22/2020,6183,5305